time,latitude_deg,longitude_deg,height_m
150.12,51.0854,-114.134,1119.27
150.135,51.0854,-114.134,1119.27
150.15,51.0854,-114.134,1119.27
150.165,51.0854,-114.134,1119.27
150.18,51.0854,-114.134,1119.27
150.195,51.0854,-114.134,1119.27
150.21,51.0854,-114.134,1119.27
150.225,51.0854,-114.134,1119.27
150.24,51.0854,-114.134,1119.27
150.255,51.0854,-114.134,1119.27
150.27,51.0854,-114.134,1119.27
150.285,51.0854,-114.134,1119.27
150.3,51.0854,-114.134,1119.27
150.315,51.0854,-114.134,1119.27
150.33,51.0854,-114.134,1119.27
150.345,51.0854,-114.134,1119.27
150.36,51.0854,-114.134,1119.27
150.375,51.0854,-114.134,1119.27
150.39,51.0854,-114.134,1119.27
150.405,51.0854,-114.134,1119.27
150.42,51.0854,-114.134,1119.27
150.435,51.0854,-114.134,1119.27
150.45,51.0854,-114.134,1119.27
150.465,51.0854,-114.134,1119.27
150.48,51.0854,-114.134,1119.27
150.495,51.0854,-114.134,1119.27
150.51,51.0854,-114.134,1119.27
150.525,51.0854,-114.134,1119.27
150.54,51.0854,-114.134,1119.27
150.555,51.0854,-114.134,1119.27
150.57,51.0854,-114.134,1119.27
150.585,51.0854,-114.134,1119.27
150.6,51.0854,-114.134,1119.27
150.615,51.0854,-114.134,1119.27
150.63,51.0854,-114.134,1119.27
150.645,51.0854,-114.134,1119.27
150.66,51.0854,-114.134,1119.27
150.675,51.0854,-114.134,1119.27
150.69,51.0854,-114.134,1119.27
150.705,51.0854,-114.134,1119.27
150.72,51.0854,-114.134,1119.28
150.735,51.0854,-114.134,1119.28
150.75,51.0854,-114.134,1119.28
150.765,51.0854,-114.134,1119.28
150.78,51.0854,-114.134,1119.28
150.795,51.0854,-114.134,1119.28
150.81,51.0854,-114.134,1119.28
150.825,51.0854,-114.134,1119.28
150.84,51.0854,-114.134,1119.28
150.855,51.0854,-114.134,1119.28
150.87,51.0854,-114.134,1119.28
150.885,51.0854,-114.134,1119.28
150.9,51.0854,-114.134,1119.28
150.915,51.0854,-114.134,1119.28
150.93,51.0854,-114.134,1119.28
150.945,51.0854,-114.134,1119.28
150.96,51.0854,-114.134,1119.28
150.975,51.0854,-114.134,1119.28
150.99,51.0854,-114.134,1119.28
151.005,51.0854,-114.134,1119.28
151.02,51.0854,-114.134,1119.28
151.035,51.0854,-114.134,1119.28
151.05,51.0854,-114.134,1119.28
151.065,51.0854,-114.134,1119.28
151.08,51.0854,-114.134,1119.28
151.095,51.0854,-114.134,1119.28
151.11,51.0855,-114.134,1119.28
151.125,51.0855,-114.134,1119.28
151.14,51.0855,-114.134,1119.28
151.155,51.0855,-114.134,1119.28
151.17,51.0855,-114.134,1119.28
151.185,51.0855,-114.134,1119.28
151.2,51.0855,-114.134,1119.28
151.215,51.0855,-114.134,1119.28
151.23,51.0855,-114.134,1119.28
151.245,51.0855,-114.134,1119.28
151.26,51.0855,-114.134,1119.28
151.275,51.0855,-114.134,1119.28
151.29,51.0855,-114.134,1119.28
151.305,51.0855,-114.134,1119.28
151.32,51.0855,-114.134,1119.28
151.335,51.0855,-114.134,1119.28
151.35,51.0855,-114.134,1119.28
151.365,51.0855,-114.134,1119.28
151.38,51.0855,-114.134,1119.28
151.395,51.0855,-114.134,1119.28
151.41,51.0855,-114.134,1119.28
151.425,51.0855,-114.134,1119.28
151.44,51.0855,-114.134,1119.28
151.455,51.0855,-114.134,1119.28
151.47,51.0855,-114.134,1119.28
151.485,51.0855,-114.134,1119.28
151.5,51.0855,-114.134,1119.28
151.515,51.0855,-114.134,1119.28
151.53,51.0855,-114.134,1119.28
151.545,51.0855,-114.134,1119.28
151.56,51.0855,-114.134,1119.28
151.575,51.0855,-114.134,1119.28
151.59,51.0855,-114.134,1119.28
151.605,51.0855,-114.134,1119.29
